user_id,occurred_at,action,user_type
0,5/6/2014 9:30,sent_weekly_digest,1
0,5/13/2014 9:30,sent_weekly_digest,1
0,5/20/2014 9:30,sent_weekly_digest,1
0,5/27/2014 9:30,sent_weekly_digest,1
0,6/3/2014 9:30,sent_weekly_digest,1
0,6/3/2014 9:30,email_open,1
0,6/10/2014 9:30,sent_weekly_digest,1
0,6/10/2014 9:30,email_open,1
0,6/17/2014 9:30,sent_weekly_digest,1
0,6/17/2014 9:30,email_open,1
0,6/24/2014 9:30,sent_weekly_digest,1
0,7/1/2014 9:30,sent_weekly_digest,1
0,7/8/2014 9:30,sent_weekly_digest,1
0,7/15/2014 9:30,sent_weekly_digest,1
0,7/22/2014 9:30,sent_weekly_digest,1
0,7/29/2014 9:30,sent_weekly_digest,1
0,7/29/2014 9:30,email_open,1
0,8/5/2014 9:30,sent_weekly_digest,1
0,8/12/2014 9:30,sent_weekly_digest,1
0,8/19/2014 9:30,sent_weekly_digest,1
0,8/19/2014 9:30,email_open,1
0,8/26/2014 9:30,sent_weekly_digest,1
4,5/6/2014 9:30,sent_weekly_digest,3
4,5/13/2014 9:30,sent_weekly_digest,3
4,5/13/2014 9:30,email_open,3
4,5/13/2014 9:31,email_clickthrough,3
4,5/20/2014 9:30,sent_weekly_digest,3
4,5/20/2014 9:30,email_open,3
4,5/20/2014 9:31,email_clickthrough,3
4,5/27/2014 9:30,sent_weekly_digest,3
4,6/3/2014 9:30,sent_weekly_digest,3
4,6/10/2014 9:30,sent_weekly_digest,3
4,6/17/2014 9:30,sent_weekly_digest,3
4,6/24/2014 9:30,sent_weekly_digest,3
4,6/24/2014 9:30,email_open,3
4,6/24/2014 9:31,email_clickthrough,3
4,7/1/2014 9:30,sent_weekly_digest,3
4,7/1/2014 9:30,email_open,3
4,7/1/2014 9:30,email_clickthrough,3
4,7/8/2014 9:30,sent_weekly_digest,3
4,7/15/2014 9:30,sent_weekly_digest,3
4,7/22/2014 9:30,sent_weekly_digest,3
4,7/29/2014 9:30,sent_weekly_digest,3
4,8/5/2014 9:30,sent_weekly_digest,3
4,8/12/2014 9:30,sent_weekly_digest,3
4,8/12/2014 9:30,email_open,3
4,8/19/2014 9:30,sent_weekly_digest,3
4,8/26/2014 9:30,sent_weekly_digest,3
8,5/6/2014 9:30,sent_weekly_digest,3
8,5/13/2014 9:30,sent_weekly_digest,3
8,5/20/2014 9:30,sent_weekly_digest,3
8,5/27/2014 9:30,sent_weekly_digest,3
8,6/3/2014 9:30,sent_weekly_digest,3
8,6/3/2014 9:30,email_open,3
8,6/10/2014 9:30,sent_weekly_digest,3
8,6/17/2014 9:30,sent_weekly_digest,3
8,6/24/2014 9:30,sent_weekly_digest,3
8,7/1/2014 9:30,sent_weekly_digest,3
8,7/8/2014 9:30,sent_weekly_digest,3
8,7/8/2014 9:30,email_open,3
8,7/15/2014 9:30,sent_weekly_digest,3
8,7/22/2014 9:30,sent_weekly_digest,3
8,7/29/2014 9:30,sent_weekly_digest,3
8,7/29/2014 9:30,email_open,3
8,7/29/2014 9:30,email_clickthrough,3
8,8/5/2014 9:30,sent_weekly_digest,3
8,8/12/2014 9:30,sent_weekly_digest,3
8,8/19/2014 9:30,sent_weekly_digest,3
8,8/26/2014 9:30,sent_weekly_digest,3
11,5/6/2014 9:30,sent_weekly_digest,1
11,5/13/2014 9:30,sent_weekly_digest,1
11,5/20/2014 9:30,sent_weekly_digest,1
11,5/27/2014 9:30,sent_weekly_digest,1
11,6/3/2014 9:30,sent_weekly_digest,1
11,6/10/2014 9:30,sent_weekly_digest,1
11,6/10/2014 9:30,email_open,1
11,6/17/2014 9:30,sent_weekly_digest,1
11,6/17/2014 9:30,email_open,1
11,6/17/2014 9:30,email_clickthrough,1
11,6/24/2014 9:30,sent_weekly_digest,1
11,7/1/2014 9:30,sent_weekly_digest,1
11,7/8/2014 9:30,sent_weekly_digest,1
11,7/8/2014 9:30,email_open,1
11,7/15/2014 9:30,sent_weekly_digest,1
11,7/22/2014 9:30,sent_weekly_digest,1
11,7/29/2014 9:30,sent_weekly_digest,1
11,7/29/2014 9:30,email_open,1
11,7/29/2014 9:31,email_clickthrough,1
11,8/5/2014 9:30,sent_weekly_digest,1
11,8/12/2014 9:30,sent_weekly_digest,1
11,8/19/2014 9:30,sent_weekly_digest,1
11,8/26/2014 9:30,sent_weekly_digest,1
11,8/26/2014 9:30,email_open,1
17,5/7/2014 9:30,sent_weekly_digest,1
17,5/14/2014 9:30,sent_weekly_digest,1
17,5/21/2014 9:30,sent_weekly_digest,1
17,5/21/2014 9:30,email_open,1
17,5/28/2014 9:30,sent_weekly_digest,1
17,6/4/2014 9:30,sent_weekly_digest,1
17,6/11/2014 9:30,sent_weekly_digest,1
17,6/18/2014 9:30,sent_weekly_digest,1
17,6/25/2014 9:30,sent_weekly_digest,1
17,7/2/2014 9:30,sent_weekly_digest,1
17,7/9/2014 9:30,sent_weekly_digest,1
17,7/16/2014 9:30,sent_weekly_digest,1
17,7/23/2014 9:30,sent_weekly_digest,1
17,7/30/2014 9:30,sent_weekly_digest,1
17,7/30/2014 9:30,email_open,1
17,7/30/2014 9:31,email_clickthrough,1
17,8/6/2014 9:30,sent_weekly_digest,1
17,8/6/2014 9:30,email_open,1
17,8/13/2014 9:30,sent_weekly_digest,1
17,8/20/2014 9:30,sent_weekly_digest,1
17,8/20/2014 9:30,email_open,1
17,8/27/2014 9:30,sent_weekly_digest,1
19,5/7/2014 9:30,sent_weekly_digest,1
19,5/14/2014 9:30,sent_weekly_digest,1
19,5/21/2014 9:30,sent_weekly_digest,1
19,5/28/2014 9:30,sent_weekly_digest,1
19,6/4/2014 9:30,sent_weekly_digest,1
19,6/4/2014 9:30,email_open,1
19,6/4/2014 9:30,email_clickthrough,1
19,6/11/2014 9:30,sent_weekly_digest,1
19,6/18/2014 9:30,sent_weekly_digest,1
19,6/25/2014 9:30,sent_weekly_digest,1
19,7/2/2014 9:30,sent_weekly_digest,1
19,7/2/2014 9:30,email_open,1
19,7/9/2014 9:30,sent_weekly_digest,1
19,7/16/2014 9:30,sent_weekly_digest,1
19,7/23/2014 9:30,sent_weekly_digest,1
19,7/30/2014 9:30,sent_weekly_digest,1
19,8/6/2014 9:30,sent_weekly_digest,1
19,8/6/2014 9:30,email_open,1
19,8/13/2014 9:30,sent_weekly_digest,1
19,8/13/2014 9:30,email_open,1
19,8/20/2014 9:30,sent_weekly_digest,1
19,8/27/2014 9:30,sent_weekly_digest,1
19,8/27/2014 9:30,email_open,1
20,5/7/2014 9:30,sent_weekly_digest,2
20,5/14/2014 9:30,sent_weekly_digest,2
20,5/21/2014 9:30,sent_weekly_digest,2
20,5/28/2014 9:30,sent_weekly_digest,2
20,6/4/2014 9:30,sent_weekly_digest,2
20,6/11/2014 9:30,sent_weekly_digest,2
20,6/11/2014 9:30,email_open,2
20,6/18/2014 9:30,sent_weekly_digest,2
20,6/18/2014 9:30,email_open,2
20,6/18/2014 9:30,email_clickthrough,2
20,6/25/2014 9:30,sent_weekly_digest,2
20,6/25/2014 9:30,email_open,2
